predict_summary,refer
2023年2月19日，俄罗斯防卫公司Rostec的负责人谢尔盖·切梅佐夫表示，俄罗斯联邦已增加了“匕首”高超音速导弹的生产。切梅佐夫在接受俄罗斯新闻社Interfax采访时表示，这些导弹系统的生产已经开始很长时间，但最初并不需要这么大的数量，现在正在增加生产。他还补充说，Rostec为俄罗斯国防部生产了“巨大的产品量”，在某些情况下，生产量增长了50倍。这主要涉及弹药工业。此外，根据切梅佐夫的说法，2023年，俄罗斯防卫公司可以生产多达300架直升机，包括攻击直升机。而在一年前，Rostec每年生产150-160架飞机。乌克兰国防部主要情报局表示，俄罗斯并没有那么多的“匕首”高超音速导弹，只是喜欢用它们的使用可能性来“吓唬”西方国家。还有一个问题是可以携带这些导弹的飞机，即米格-31飞机存在问题。,俄罗斯国家技术集团（Rostec）负责人切梅佐夫表示，俄罗斯正在加速生产“匕首”高超声速导弹。俄罗斯国家技术集团主要为俄国防部生产大量产品，主要涉及弹药工业，销量大幅增长，在某些情况下增长了50倍。此外，据切梅佐夫称，到2023年，俄罗斯国防企业最多可生产300架直升机，其中包括攻击直升机。乌克兰国防部情报总局表示，俄罗斯没有那么多的“匕首”高超声速导弹和“米格”-31战斗机，只是在恐吓西方国家。
韩国建造的阿联酋巴拉卡核电站第三单元已成功接入中东国家的电力传输网，韩国国营电力公司周日表示。第三单元于上月开始运营，并于上周开始提供首批无碳电力。预计该单元将在进一步测试后于明年开始商业运营。巴拉卡的四个核反应堆之一的第三单元位于阿布扎比以西270公里处，由韩国电力公司领导的财团在2009年赢得了200亿美元的合同。该项目标志着韩国首次出口自主商业原子能电站。第一单元于2021年4月开始商业运营，第二单元于今年3月开始。第三单元将为阿联酋的电网增加1400兆瓦的零碳排放电力，使电站总产量达到4200兆瓦。当四个单元投入商业运营时，巴拉卡电站将满足阿联酋25%的电力需求，并有望保证阿联酋的能源可持续性并实现其净零目标。,阿联酋核能公司（ENEC）2022年10月9日表示，巴拉卡核电厂3号机组已成功实现首次并网发电。在完成进一步测试后，该机组预计将于2023年投入商运。巴拉卡核电厂位于阿布扎比艾尔达法拉（Al Dhafra）地区，拥有4台APR-1400核电机组。前2台机组即巴拉卡1号和2号机组已分别于2020年8月和2021年9月并网发电，4号机组也即将并网发电。该厂由韩国电力公司（KEPCO）牵头的联合体负责建设，由阿核能与韩电的合资公司纳瓦能源公司（Nawah Energy）负责运营和维护。4台机组全部建成投运后，将能满足阿联酋四分之一的电力需求，每年减排超过2100万吨二氧化碳。
美国海军退役上将詹姆斯·福戈（James Foggo）近日撰文表示，美国海军现代化舰队的步伐对公共造船厂造成了压力，他呼吁从一开始就强调数字化，以便更智能地工作。福戈指出，美国在可预见的未来每年的造船量将无法超过中国。为了保持优势，我们必须尽可能快地建造，并最大化现有舰队的海上力量。这将需要我们在传统战斗和开发新技术方面都领先。福戈强调，我们的海军造船厂面临一个重大挑战：它们建造于很久以前，一些甚至可以追溯到19世纪，而这些设施的现代化在过去的几年里一直被其他优先事项所忽视。为了解决这个问题，美国海军在2018年制定了造船厂基础设施优化计划（SIOP），以重新配置、现代化和优化我们的四个老化的海军造船厂。福戈认为，改善这些设施的物理基础设施至关重要，但同样重要的是我们要抓住这个机会，建立必要的数字基础设施，以加速我们的战备优势。,当前，美国海军船厂维护存在工作效率低、人才和培训不足以及维修数据庞大、无序的问题。美海军正通过“船厂基础设施优化计划”（SIOP）应对这些挑战，涉及3个方面：干船坞、基础设施和工业厂用设备，而数字化技术是提升船厂维护速度和效率的基础。通过部署人工智能（AI）、数据分析和机器学习工具，可增强洞察力，进行数据预测，并实现关键信息共享，最大限度发挥操作人员能力，使其作出更快、更明智的决策。关于将数字技术整合到SIOP计划，文章作者提出4项建议：一是将3%的预算用于数字化转型；二是提供培训增强操作员的技能水平，利用定制化商业技术满足其需求；三是利用现有和模拟数据集展示AI技术；四是将数字化技术无缝整合到数据系统，确保船舶和船厂物理、电磁和信息安全要求。
"美国导弹防御局（MDA）的长程鉴别雷达（LRDR）运营交付计划再次延误，关键里程碑相比原计划推迟了整整一年，新的目标日期现已设定为2021年12月。美国政府和主要承包商洛克希德·马丁公司正在努力完成下个月的新传感器安装。原因是新冠疫情的影响。LRDR设施的建设已经完成，雷达的安装将在11月完成。计划于2021年12月举行初始部署仪式，以纪念设施建设和雷达安装的完成，以及过渡到雷达测试、培训和运营。LRDR是MDA升级地基中段防御系统为""强大的国土防御""配置的计划的一部分，新的传感器将支持其他任务领域，包括空间态势感知。洛克希德·马丁公司建造的LRDR是一种强大的S波段雷达，预计能够确定极远距离的威胁，以帮助引导地基拦截器以更高的信心摧毁敌方再入大气层的载具，并减少用于摧毁来袭弹头的远程制导导弹的数量。","导弹防御局（MDA）计划于2021年12月交付远程识别雷达（LRDR）。由于疫情原因，LRDR的部署时间与最初计划相比推迟了整整一年。目前已经完成远程识别雷达（LRDR）设施的建设，将于11月完成雷达的安装，计划于2021年12月举行初始部署仪式，标志着设施建设和雷达安装的完成，并向雷达测试、培训和作战过渡。
LRDR将部署在阿拉斯加州克利尔空军基地，包括一个“设备支架”，用于容纳两个雷达阵列面、一个支持雷达操作的任务控制设施以及配套设施和基础设施。主承包商是洛克希德马丁公司，是一种强大的S波段雷达——包括两个阵列，每个阵列高60英尺，宽60英尺，可以引导地基拦截弹摧毁敌方的再入飞行器，降低拦截弹数量。
LRDR是地基中段系统升级为“强健本土防御”计划的重要组成，在飞行中段持续监测远程弹道导弹（尤其是从朝鲜发射的导弹）。LRDR还将支持包括空间态势感知的其他任务领域。"
2021年8月17日，Hughes Network Systems公司（HUGHES）宣布，已被美国空军授予一份不确定交付/不确定数量（IDIQ）合同，该合同的上限为9.5亿美元，以支持其先进的战斗管理系统（ABMS）。Hughes将提供灵活的卫星通信解决方案，利用开放系统设计、现代软件和算法开发，以实现ABMS，这是更广泛的联合全域指挥和控制（JADC2）努力的一部分，以向战士提供信息可访问性。此IDIQ合同是一个多重奖励、多级安全努力的一部分，旨在提供系统的开发和运营，作为一个统一的力量，跨越所有领域（空中、陆地、海洋、空间、网络和电磁谱）在一个开放架构的系统家族中，通过多个集成平台实现能力。更多关于Hughes Defense的信息，请访问defense.hughes.com。,美国休斯网络系统公司获得美空军无限期交付/无限期数量合同，以推进先进战斗管理系统(ABMS)的研发，其最高合同额为9.5亿美元。休斯公司宣布将为ABMS提供灵活的卫星通信解决方案，通过开放系统设计、现代软件和算法开发，为战斗机提供信息访问，使ABMS更有力地支撑美军联合全域指挥和控制（JADC2）战略。美空军表示，ABMS 将通过多个平台的集成，将空中、地面、海上及网络等多域的武器系统和射手无缝连接。
美国国防高级研究计划局（DARPA）的地下挑战赛，旨在开发能在地下执行任务的机器人技术，预计将于下个月举行最后一次比赛。该项目已经推动了机器人技术的发展，其中一些已经投入使用。该项目的目标是开发能快速地图、导航和搜索复杂地下环境的技术，如人造隧道系统、城市地下和自然洞穴网络。在系统比赛中表现最好的队伍将获得200万美元的奖金，而在虚拟比赛中表现最好的队伍将获得75万美元的奖金。经过三年的开发，DARPA地下挑战赛队伍将有机会在9月21日至23日在肯塔基州路易斯维尔的路易斯维尔巨型洞穴中进行最后的比赛。该项目已在多个技术领域取得进展，包括最具挑战性的两个领域：地下通信和无GPS信号的地理定位。,"DARPA的“地下挑战赛”(Subterranean Challenge)项目将于下个月举办最后一场比赛。这项由DARPA发起的挑战赛旨在发展能够在地下环境执行任务的机器人技术，包括快速测绘技术以及复杂地下环境（如人造隧道系统、城市地下环境和天然洞穴网络）中的导航与搜索技术，同时关注实体机器人和虚拟机器人技术。实体机器人竞赛中表现最好的团队将获得200万美元的奖金，虚拟竞赛中表现最好的团队将获得75万美元的奖金。DARPA的“地下挑战赛”经过3年的发展历程，最终参赛团队将有机会参加9月21日至23日在肯塔基州路易斯维尔巨型洞穴举行的决赛。
参加DARPA“地下挑战赛”的实体机器人系统可以采取任何形式或任何大小，会走路、游泳、飞行或滚动。理想情况下，参加比赛的系统应该能够在任何地下环境中运行，包括人造隧道，如矿山、地铁站、停车场和下水道系统，以及天然洞穴网络。DARPA所做的是创造非常困难的地下环境，真正提高机器人在自主、网络、感知、移动4个方面所面临的挑战。目前，该项目参赛团队已经衍生出一些初创公司，这是一种很好的商业化和产品化途径，能够真正使挑战赛中开发的技术在现实世界中得到应用。其中一些技术可能会在该项目完成后立即产生影响。事实上，有些技术已经在现实世界中得到应用，部分技术已经被部署到矿井、基础设施和石油钻井平台用于设施维护和管理，在商业化应用方面获得了宝贵经验。
DARPA的“地下挑战赛”项目见证了多个技术领域的进步，包括两个最具挑战性的领域:地下通信和无GPS信号时的地理定位。此外，参赛团队也找到了许多技术解决方案。这些团队开发的技术非常先进，不仅仅涉及相机、红外传感器、热成像相机、激光雷达、雷达甚至声学技术。这些技术解决了对地下空间中的事物进行地理定位的棘手问题，能够用于多种应用领域，包括基础设施检查或施工现场管理，以及科学探索和发现。这是能够在近期内产生影响的重要技术进步。"
加利福尼亚初创公司Capella Space宣布，将成为首家向空间发展局（SDA）的数据中继卫星传输层展示光链路连接能力的合成孔径雷达公司。Capella Space的首席技术官Christian Lenz表示，使我们的卫星能够有效地与新的SDA架构集成，对我们与美国防务和情报部门无缝合作至关重要。光间卫星链路（OISLs）使用激光在轨道上的卫星之间进行通信和数据传输，这是SDA在低地球轨道（LEO）构建多层国防空间架构的中心节点和最大挑战。Capella Space将在2022年底开始在其商业SAR卫星上安装光通信终端（OCTs），以利用高效的激光通信技术向其在低地球轨道的卫星发送和接收数据，并将数据中继到兼容的政府卫星和地面军事行动。Capella正在使用Mynaric的CONDOR Mk3光通信终端，Mynaric已经证明它与SDA系统和标准兼容。,"来自加利福尼亚的初创公司Capella Space今天宣布称，该公司将成为首家演示与航天发展局的数据中继卫星传输层进行光学连接的合成孔径雷达公司。
Capella Space公司首席技术官克里斯蒂安·伦茨在一份新闻稿中表示：“我们团队很高兴成为第一家证明与航天发展局的国防空间架构及标准兼容的商业合成孔径雷达公司。“使我们的卫星能够有效地与航天发展局新架构集成是我们和美国国防情报部门无缝合作的关键一步。”
光学星间链路（OISL）使用激光在轨道上的卫星之间进行通信和压缩数据——这项技术既是中心节点，也是航天发展局在低地球轨道（LEO）上构建多层国防太空架构的最大挑战，可为国防部目前的空间系统提供新的能力和弹性。"
"美国五角大楼的研究和工程办公室正在调整其组织架构，将三个职位重新定位为副首席技术官，并调整这些角色的职责范围，以期简化技术到能力的管道。这些变化由国防部今天宣布，针对的是研究和工程副国防部长办公室内的现有三位国防研究与工程主任。五角大楼首席技术官Heidi Shyu在新闻发布会上表示，""整体来看，这些变化将使我们的组织能够快速工作，并增加内外部的协作。""新的职位包括：科技副首席技术官，关键技术副首席技术官，以及任务能力副首席技术官，各自负责基础研发、应用技术以及联合原型制作、实验和快速技术转换等工作。",5月10日，美国防部研究与工程（R&E）办公室调整了组织架构，研究和技术局主任调整为科学和技术局副首席技术官，专注于基础研究和开发，其工作范围从技术保护到小企业项目；现代化局主任调整为关键技术局副首席技术官，负责高超声速和定向能等应用技术，微电子和人机界面等使能技术和5G办公室；先期能力局主任调整为任务能力局副首席技术官，将围绕联合行动、原型设计、实验和快速转化等方面开展工作。美国防部首席技术官徐若冰表示，这些变革将提高该部门的工作效率，增加部门内外的合作。
澳大利亚科学家利用锡单硫化物（SnS）纳米片创建了有史以来最薄的X射线探测器，有望实现细胞生物学的实时成像。X射线探测器是一种能将辐射传输的能量在视觉或电子上进行识别的工具，如医疗成像或盖革计数器。SnS已经显示出作为光伏、场效应晶体管和催化剂等用途的材料的巨大潜力。现在，位于莫纳什大学和皇家墨尔本理工大学的ARC激子科学卓越中心的成员已经证明，SnS纳米片也是作为软X射线探测器的优秀候选者。他们的研究表明，SnS纳米片具有高光子吸收系数，可以用于制造超薄软X射线探测器，具有高灵敏度和快速响应时间。这些材料比另一种新兴候选者（金属卤化物钙钛矿）更敏感，响应时间比已有的探测器更快，可以调整对软X射线区域的灵敏度。该团队制造的SnS X射线探测器厚度不到10纳米。,近日，澳大利亚莫纳什大学使用硫化锡（SnS）纳米片制造出有史以来最薄的X光探测器。X射线探测器是一种可通过视觉或电子方式识别辐射传输能量的检测工具，研究人员发现硫化锡纳米片是用作软X射线探测器的优秀候选材料，因为硫化锡纳米片具有较高的光子吸收系数，使其可用于制作高灵敏度和快速响应的超薄软X射线探测器。他们使用硫化锡纳米片制造出一种厚度不到10纳米的硫化锡X射线探测器，通过测试发现这种硫化锡纳米片甚至比另一种新兴的候选材料金属卤化物钙钛矿更灵敏，而且还具有比现有探测器更快的响应速度，可在软X光区域调节灵敏度。这种新型X射线探测器将有望用于实现细胞生物学的实时成像。
2022年6月16日，瑞典电力公司Vattenfall计划提高Forsmark NPP 1号反应堆的功率，增加超过100MWe，其中一半将在秋季的下一次维护期间完成。该公司希望通过提高Forsmark 1号反应堆的功率，为瑞典南部的电力客户提供更多的电力。Forsmark核电站位于Uppland，拥有三个反应堆，分别为990MWe（1号机组）、1121 MWe（2号机组）和1172 MWe（3号机组）。Forsmark 2号反应堆的功率在2013年增加了100MWe以上。Forsmark 1号反应堆已经进行了现代化改造，以确保长期运行，基础设施也得到了升级。这为该设施提供了获得更高功率许可的机会。Forsmark是瑞典最大的电力发电商，去年产生了超过25TWh的电力。瑞典的核电目前占总电力产量的30%以上。,瑞典瓦腾福公司（Vattenfall）已准备好将福什马克核电厂1号机组的功率提升10万千瓦，2022年秋季的下一个维护期内先增加5万千瓦，2023年再增加5万千瓦。瓦腾福公司一位负责人表示，希望通过提升1号机组的功率，为瑞典南部的电力客户提供更多电力。该公司已经向主管部门提交了申请，希望能尽快获批，以便生产更多的非化石电力。福什马克核电厂共有3台机组，装机容量分别为99万千瓦、112.1万千瓦和117.2万千瓦。其中2号机组的功率于2013年提升了略高于10万千瓦。为了确保长期运行，1号机组的基础设施也进行了升级改造，为以更高功率运行创造了条件。福什马克核电厂2021年的发电量为250多亿千瓦时。目前，瑞典核发电量在全国总发电量中占比略高于30%。
法国赛峰集团（Safran）正在推进其电力推进的总体计划，同时寻求电动机的认证并与初创飞机制造商合作。预计欧洲联盟航空安全局（EASA）将在2023年认证该公司的100千瓦（135马力）EngineUs 100电力推进单元。赛峰集团计划为轻型飞机推出与现有的Lycoming活塞发动机产品系列相对应的电动机。美国Bye航空公司今年初收到了其首批EngineUs 100电动机，该电动机将为预计今年飞行的双座eFlyer 2电动教练机提供动力。此外，赛峰集团还为贝尔公司的电动分布式防扭力（EDAT）系统提供了电动机。赛峰集团的EngineUs电动机在各种平台上已经累计了1000个飞行小时。今年4月初，赛峰集团与图卢兹的轻型和区域飞机制造商Aura Aero签署了协议，将为Aura的Integral E飞行演示器提供推进系统。赛峰集团预计将在今年夏天交付一台100千瓦的EngineUs电动机，以便Integral E能在年底前飞行。,"赛峰正在推进其电力推进总体规划，在与初创飞机制造商合作的同时，还在寻求电动机认证。通过积累样机经验和研究飞机层面的电力推进架构，赛峰将自己定位为从轻型飞机到窄体飞机全电和混合电推进系统的全系列电动机供应商。
欧盟航空安全局（EASA）预计将于2023年对赛峰的100千瓦（135马力）EngineUs 100电动机进行认证。之后赛峰将推出EngineUs 500。
赛峰电动机的名称表示的是巡航状态的功率。EngineUs 100和EngineUs 500的最大功率分别为150千瓦和750千瓦。
对于轻型飞机，赛峰计划推出一型与现有莱康明活塞发动机产品系列相对应的电动产品。从一开始，engine us 100电动机本身及其配电和保护系统就是作为莱康明的替代品而设计的。
赛峰还设想了一系列功率更强大的电动机，相当于普惠公司的PT6A涡桨发动机系列。19座支线飞机适用EngineUs 500。
总部位于美国的Bye航宇公司2022年早些时候接收了第一批EngineUs 100。该电动机将作为其双座eFlyer 2电动教练机的动力，计划于2022年首飞；FAA Part 23认证预计在2023年。Bye的另外两个项目是4座的eFlyer 4和8-12座的eFlyer 800。
与此同时，赛峰集团已经在法国初创公司VoltAero的Cassio 1飞行试验台上使用两台EngineUs 45电动机进行了飞行试验，已经在下雨和寒冷环境下完成测试。电动机现在已经从飞机上拆下来，并进行了拆解分析。工程师可以看到轴承等部件在运行100-200小时后是否会出现预期的磨损。VoltAero工作的一个关键部分是控制律设置。电动机的响应速度比传统的飞机发动机快得多，因此必须调整这种反应能力，以帮助飞行员习惯操作。EngineUs 45是改进型塞斯纳337H“空中霸王”混合电推进系统的一部分。
此外，赛峰还为贝尔公司的分布式电动反扭矩（EDAT）系统提供电动机。2019年首飞的EDAT试验台是一架经过改装的贝尔429，在垂直稳定器上安装了4个固定桨距电动风扇，取代了传统的尾桨。
一型未命名的中国电动垂直起降原型机也使用了赛峰电动机。总的来说，在各种平台上，赛峰的EngineUs电动机已经积累了1000个飞行小时。
事实证明，同时拥有欧洲和美国的客户非常有用，赛峰可以与EASA和FAA合作制定认证模板。
4月初，赛峰集团与图卢兹的轻型支线飞机制造商Aura Aero签署了协议。赛峰将为Aura的Integral E飞行验证机提供推进系统。这种电动双座飞机是Integral R的演变，Integral R是一种能够进行特技飞行的单发活塞飞机。
赛峰将在2022年夏天交付一台100kW的EngineUs电动机，以便Integral E能在年底前飞行。不幸的是，Integral R原型机于4月12日坠毁，两名飞行员遇难。因此，Aura的电力项目可能会被推迟。
赛峰还与Aura签署了一份谅解备忘录，共同开发19座支线飞机ERA。该飞机的目标是支线航空运输，初始阶段采用混合电推进系统，最终将采用全电推进。Aura和赛峰将合作定义推进和非推进电力系统架构。
以现有电池200~300Wh/kg的比能量，ERA可能会采用涡轮发动机作为增程器。涡轮发动机运行在一个恒定的最佳转速，以直接驱动电动机或为电池充电。通常起飞降落将是全电动，巡航阶段下使用增程器，即涡轮发动机。
Aura计划在2024年进行ERA的首次飞行，并在2027年投入使用。
下一代固态电池预计将于2025-2030年上市，比能量为400~500Wh/kg。这可能会使19座飞机采用全电推进系统，或者至少减少增程器的使用，可能适合在2027年后升级的飞机。赛峰将整合来自专业电池供应商的电池，通过数个航空周期的测试来验证电池性能。
未来，赛峰和GE公司可能会考虑在混合涡扇发动机中引入电动机。加上可持续的航空燃料，可能是减少窄体飞机二氧化碳排放的有效方法。"
2023年2月5日，加拿大国防部长Anita Anand在推特上发布消息，首辆由加拿大捐赠的豹2主战坦克（MBT），特别是2A4型，正在运往乌克兰。加拿大皇家军队（RCAF）的加拿大Cargo-177 Globemaster III军用运输机在新斯科舍省的哈利法克斯装载了一辆豹2A4坦克，作为加拿大对乌克兰援助的一部分，于2023年2月3日发往海外。2023年1月26日，国防部长Anita Anand宣布，加拿大将从加拿大军队（CAF）军事库存中供应给乌克兰四辆豹2主战坦克。目前，加拿大军队装备有82辆作战主战坦克，包括42辆豹2A4，20辆升级版豹2A4M，20辆豹2A6M，以及52辆库存的豹1C2。豹2坦克是加拿大军队的骨干力量，包括2A4、2A4M和2A6等版本。这些坦克提供了机动性、火力和生存能力方面的战术优势，并用于在战场上提供直接火力支援。豹2A4坦克配备了L44 120mm滑膛炮，这是一种高精度、高效的武器系统，可以发射各种类型的弹药，包括高爆、穿甲和反人员弹。豹2A4坦克由MTU MB 873 Ka-501涡轮增压柴油发动机驱动，该发动机能产生1500马力，使坦克能达到最高68公里/小时的路速，全地形条件下约40公里/小时。,"2月4日，加拿大表示已向乌克兰运送第1辆“豹”2A4主战坦克。
1月26日，加拿大宣布向乌克兰提供4辆“豹”2系列主战坦克。目前，加拿大陆军列装82辆主战坦克，包括42辆“豹”2A4主战坦克、20辆“豹”2A4M升级型主战坦克、20辆“豹”2A6M主战坦克和52辆“豹”1C2主战坦克。“豹”2系列主战坦克能够在机动性、火力和生存能力方面提供战术优势，可在战场上提供直接火力支援，其改型还可选装排雷组件。2007年，加拿大从德国购买“豹”2A4坦克以充实现有车队。在加拿大陆军服役的“豹”2坦克系列还包括“豹”2AEV装甲工程车和“豹”2ARV装甲抢修车。
“豹”2A4坦克装备1门L44式120毫米滑膛炮，配备先进火控系统，可发射包括高爆弹、穿甲弹和杀伤弹在内的多型弹药；辅助武器为7.62毫米同轴机枪；采用MTU公司MB 873 Ka-501型涡轮增压柴油发动机，功率1103千瓦，最大公路速度68千米/小时，在全地形条件下最大速度可达40千米/小时左右。"
核燃料创新公司Clean Core Thorium Energy与美国能源部（DOE）签署了新的战略合作协议，详细规划了在爱达荷国家实验室（INL）的先进测试反应堆中对其先进核能富集生活（ANEEL）燃料进行辐照测试和资格认证的下一步计划。ANEEL是一种专有燃料技术，使用钍和高浓缩低浓缩铀（HALEU）的组合，以提高CANDU反应堆和其他加压重水反应堆设计的性能。这种燃料可以将这类反应堆产生的废物量减少80%以上，提供废物管理和安全优势，以及非扩散优势。Clean Core预计将在2022年底或2023年初开始在其先进测试反应堆中测试ANEEL燃料。同时，Clean Core将在INL进行燃料测试的同时，完成性能和安全评估，并在加拿大合作伙伴的CANDU反应堆中进行全尺寸燃料组件的示范辐照。Clean Core表示，预计到2025年底，商业CANDU反应堆将开始使用ANEEL燃料组件。,美国清洁核心钍能源公司（Clean Core Thorium Energy）与美国能源部（DOE）近日签署了一项战略伙伴关系协议，未来钍能源公司将在爱达荷国家实验室（INL）先进试验堆对其专有的钍基核燃料（ANEEL）进行辐照测试和鉴定。ANEEL燃料使用钍和高丰度低浓铀（HALEU）制造，能够增强坎杜堆和其他加压重水堆的核燃料性能。这种核燃料可以将重水堆产生的核废物量减少80%以上，并降低核扩散风险。钍能源公司与得州农工大学和爱达荷国家实验室合作，已根据爱达荷国家实验室的质量保证要求完成了ANEEL燃料测试芯块的制造。这些燃料芯块可以插入测试组件中，进行高燃耗辐照测试，然后进行辐照后检查和鉴定。这批ANEEL燃料预计将在2022年底或2023年初开始在先进试验堆中测试。
"俄罗斯军事人员于2022年11月28日从普列谢茨克航天发射场发射了GLONASS-M系列的第61颗也是最后一颗卫星，用于国家的轨道导航网络。大约三个半小时后，GLONASS M-61卫星将被送入地球表面上方约19,000公里的圆形轨道。GLONASS M-61卫星是最后三颗依赖于加压平台来容纳船载电子设备的卫星之一，之后更先进的完全配备了能在太空真空中操作的系统的航天器将接管GLONASS网络的组成。2022年11月15日，俄罗斯当局对预定在11月27日至30日期间进行的发射发出了对空中和海上交通的警告。11月28日，搭载GLONASS-M No. 61卫星的联盟-2-1b/Fregat-M火箭在普列谢茨克的43号发射场发射，延迟24小时。发射后不久，俄罗斯媒体确认了发射的事实。",11月28日，俄“格洛纳斯”-M系列第61颗卫星搭乘“联盟”-2.1b型运载火箭，从普列谢茨克发射场成功发射入轨，最终运行于轨道高度19100千米，倾角约64.8度的中地球轨道。本次发射的卫星是“格洛纳斯”-M系列的最后一颗卫星，此次发射后，俄将全面转向生产发射“格洛纳斯”-K系列卫星。其中，“格洛纳斯”-M系列卫星是“格洛纳斯”导航定位系统的第二代卫星，于2003年首次发射，重约1.4吨，设计寿命约7年。“格洛纳斯”-K系列卫星是“格洛纳斯”导航定位系统的第三代卫星，计划包括26颗卫星，于2011年首次发射，目前已有5颗在轨。“格洛纳斯”-K相较M系列，采用非加压外壳设计，质量减少为750千克，设计寿命延长至10年，还将首次提供L3与L5频段上的码分多址（CDMA）信号。
北卡罗来纳州立大学的研究人员利用计算分析预测了半导体材料硒化锌（ZnSe）在掺杂卤素元素时光学性质的变化，并发现预测结果得到了实验验证。他们的方法可能加快识别和创造对量子应用有用的材料的过程。在一项原理验证研究中，Irving及其团队使用计算分析预测了使用卤素元素氯和氟作为ZnSe掺杂剂的结果。他们选择了这些元素，因为卤素掺杂的ZnSe已经被广泛研究，但底层的缺陷化学尚未建立。该模型分析了氯和氟在缺陷位点的所有可能组合，并正确预测了掺杂ZnSe的电子和光学性质、电离能和光发射等结果。这项研究成果发表在《物理化学快报》上。,近日，美国北卡罗来纳州立大学研究人员开发出一种新的半导体计算模型。制造性能理想的半导体需要利用缺陷。通过在材料中添加不同的元素可以操纵这些缺陷，从而获得不同的材料特性。但是确定掺杂元素十分耗费时间和人力成本。为此，研究人员开发出一种计算机模型试图解决这一问题。研究人员使用这种模型预测了使用卤素元素氯和氟作为ZnSe掺杂剂的结果，该模型很好的分析了氯和氟在缺陷位置的所有可能组合，并正确预测出掺杂ZnSe材料的电子和光学性质、电离能和光发射特性等结果。该研究成果将为量子信息技术领域半导体材料的选择和制备奠定基础。
NNL科学家成功研发出一种生产治疗癌症的医用放射性同位素铅-212的新方法，这是一种重要的医用放射性同位素，但生产困难，供应短缺。铅-212用于一种新兴的医疗治疗方法，即靶向阿尔法疗法（TAT），通过标记靶向分子来破坏癌细胞，同时最大限度地减少对身体健康部分的损害。然而，和其他关键的医用放射性同位素一样，铅-212的供应面临全球短缺，限制了其使用，英国目前并无生产途径。NNL的普雷斯顿实验室已经开发出了英国首个本土供应铅-212的生产过程，目前正在进行质量保证和扩大生产的工作。NNL正在与包括伦敦玛丽皇后大学和伦敦国王学院在内的临床医生和学者紧密合作，以实现这一目标。,英国国家核实验室（NNL）2022年5月30日宣布在放射性同位素铅-212生产方面取得突破性进展，其下属的普雷斯顿实验室研发了英国第一种国产铅-212的生产工艺，即能够通过对核材料进行复杂的化学分离和纯化来生产铅-212。目前，国家实验室正在就铅-212的质量保证和规模生产等问题开展进一步研究。铅-212是一种重要的医用放射性同位素，可用于靶向治疗，在破坏癌细胞的同时最大限度的减少对身体其他健康部位的损害。鉴于生产难度较大，铅-212的全球供应长期以来处于短缺状态。
"2022年2月15日，加拿大核工业组织（OCNI）宣布建立""加拿大核工业先进制造联盟""（CAMiNA）。CAMiNA将包括来自加拿大核工业的代表，包括供应商、公用事业、研究机构、大学和政府实体，共同监督""加拿大核工业先进制造路线图""的进展。CAMiNA将推动加拿大核工业更广泛地使用先进制造技术，并倡导研究、开发和应用各种先进制造技术，以维持或提高加拿大核舰队的成本、可靠性、安全性能以及未来的小型模块反应堆（SMR）。CAMiNA的成员还将与政府、监管机构和标准机构就有助于实施核应用中的增材制造的规定和标准进行磋商。先进制造，包括增材制造，为解决加拿大Candu反应堆舰队中设备或部件的过时问题提供了可能的解决方案，并有可能降低特定复杂SMR组件的制造成本。CAMiNA指导委员会宣布任命Christine Burow为项目主任，她在KSB Pumps公司推广核工业中的增材制造方面有丰富的经验，并在加拿大核工业中建立了广泛的网络。她的首要任务是建立CAMiNA的会员基础，并计划在2022年3月举行CAMiNA的启动活动。OCNI是一个由230多家为核工业提供供应的加拿大公司组成的协会，雇佣了20000名高技能和专业的工程师、技术人员和工人。OCNI公司设计反应堆，制造主要设备和部件，并为加拿大的Candu和未来的SMR电厂以及海外市场的Candu和轻水反应堆电厂提供工程服务和支持。",近日，加拿大核工业组织（OCNI）宣布成立“加拿大核工业先进制造联盟”（CAMiNA）。该联盟将由与加拿大核工业有关的供应商、电力公司、研究机构、大学和政府实体组成，共同促进2022年1月12日发布的“加拿大核工业先进制造路线图”的发展。核工业先进制造联盟将推动加拿大核工业使用更多的先进制造技术，并倡导研究、开发和应用各种先进制造技术，以保持、提高加拿大现有核电机组经济性、可靠性和安全性，并将这些技术用于未来模块化小堆的部署。它还将与政府、监管机构和标准制定机构合作，推动有关核工业应用3D打印技术的法规和标准制定。
