predict_summary,refer
澳大利亚政府授予Dovetail Electric Aviation一项300万澳元（200万美元）的拨款，用于将涡轮动力飞机改装为全电动动力。该拨款于1月19日宣布，澳大利亚工业与科学部表示，这笔资金将用于“开发、测试和认证”改装计划。该拨款是在堪培拉合作研究中心项目的框架下获得的，Dovetail将与政府的联邦科学工业研究组织、新南威尔士大学以及行业合作伙伴悉尼水上飞机和工程公司Memko合作。Dovetail是西班牙Dante Aeronautical和悉尼航空控股公司（悉尼水上飞机的所有者）的合资企业。澳大利亚地区航空公司Rex Group也投资其中，并将提供一架飞机作为改装试验平台。西班牙航空公司Air Nostrum和Volotea也通过2022年12月对Dante的投资，持有该公司的少数股权。迄今为止，Dovetail的工作重点是将塞斯纳大卡拉万改装为全电动动力，预计将于2025年投入使用。还计划进行一个后续项目，涉及使用氢燃料电池的比奇克拉夫特国王航空飞机。澳大利亚工业与科学部部长Ed Husic表示：“电动航空有望成为澳大利亚实现减排目标的重要推动力。”Dovetail首席执行官David Doral补充道：“我们很荣幸成为这个竞争激烈的拨款项目的受益者之一。这笔资金将使我们能够继续推动电动航空的发展，并将我们对行业更可持续未来的愿景更加接近现实。”,"Dovetail Electric Aviation公司已获得澳大利亚政府300万澳元（200万美元）的资助，用于将涡轮动力飞机转换为全电飞机，包括开发、测试和认证等内容，Dovetail将与政府的英联邦科学工业研究组织、新南威尔士大学、Sydney Seaplanes公司和Memko工程公司合作开展。
Dovetail是西班牙丹特航空公司和悉尼航空控股公司（Sydney Seaplanes的母公司）的合资企业，还吸引了澳大利亚支线航空公司Rex集团的投资，Rex将提供一架飞机作为改装试验台。目前Dovetail的工作重点是将赛斯纳“大篷车”飞机改装为全电动力，预计2025年投入运营，并计划进行一个后续项目，包括一个氢燃料电池动力的比奇“空中国王”飞机。"
"以色列国防部长本尼·甘茨（Benny Gantz）周三表示，由于对《全面行动计划》（JCPOA）的严重违反，伊朗将在10周内能够生产军用核材料。
甘茨在向联合国安理会成员国大使举行的简报会上表示：“伊朗违反了JCPOA中设定的所有准则，距离获取制造核武器所需的武器级材料只有大约十周的时间。”
参与简报会的外交部长亚伊尔·拉皮德（Yair Lapid）强调，当面临攻击或对其公民和主权构成威胁时，以色列保留独立行动的权利。
2015年，伊朗与包括美国、中国、法国、俄罗斯、英国、德国和欧盟在内的P5+1国家签署了核协议。该协议要求德黑兰方面削减其核计划并大幅减少其铀储备，以换取解除制裁，包括在协议签署后五年解除武器禁运。
2018年，美国放弃了其和解立场，退出了JCPOA，并对伊朗实施了强硬政策，导致后者在协议下基本放弃了自己的义务。",以色列国防部长本尼?甘茨8月4日表示，由于伊朗全面违反了《联合全面行动计划》（即伊核协议），伊朗最快可能在10周内生产军用核材料。《耶路撒冷邮报》援引甘茨在为联合国安理会成员国大使举行的吹风会上说：“伊朗违反了伊核协议行动计划的所有准则，距离获取武器级核材料仅需10周左右的时间。”2015年，伊朗与包括美国、中国、法国、俄罗斯、英国、德国和欧盟在内的P5+1国家签署了伊核协议。要求德黑兰缩减其核计划，并大幅减少铀储备，以换取解除制裁，包括在协议签署5年后解除武器禁运。2018年，美国放弃了和解立场，退出了全面伊核协议，对伊朗实施强硬政策，促使伊朗在很大程度上放弃了伊核协议规定的义务。
"美国空军总参谋长CQ布朗将军在11月13日的迪拜国际空军司令会议上告诉官员们：“现在我们陷入了认为质量必须是物质的思维中。如果我们不需要生产出动来达到同样的效果呢？”
布朗将军表示，国际空军可以向Netflix学习如何利用技术来摧毁敌人。Netflix通过提供送货上门的DVD租赁服务，将Blockbuster赶出了市场，并通过创建第一个广泛使用的电影流媒体服务，将硬件产品转变为软件产品，彻底改变了媒体消费方式。
布朗将军表示，类似的革命可能正在战争中发生，因为人工智能、超级计算、网络武器和太空技术的进步表明，数据和软件的依赖程度越来越高，而且趋向于非动力效应。
他在迪拜国际空军司令会议上说：“我无法预测未来，但我敢打赌非动力效应将占主导地位。现在我们陷入了认为质量必须是物质的思维中。如果我们不需要生产出动来达到同样的效果呢？如果未来的小直径炸弹看起来像是一串二进制代码呢？”
在数据为王的世界中，美国空军仍然存在信息孤岛，许多平台无法相互连接。
布朗将军表示，该部门目前正在开发先进的作战管理系统，希望通过该系统将传感器和射击平台连接起来，并整合机器学习等新兴技术，以加快决策速度。
但要实现数据综合和处理的全部潜力，美国军方必须能够与盟友和合作伙伴国家建立联系，提高互操作性是一个必要条件。然而，目前这一点太困难了，存在太多的官僚红线。
布朗将军说：“对于我们今天在场的人来说，不同的思考方式始于打破阻碍我们共享数据的陈旧政策，而我们的战斗人员正是依赖这些数据。”
会议的主题是互操作性和全域指挥与控制，但会议上悬挂着未能完成的向迪拜出售F-35战机的包袱，这主要是由于美国担心阿布扎比使用中国的5G供应商华为可能使高科技的F-35易受利用。
包括布朗将军和阿联酋空军司令Ibrahim Al Alawi少将在内的官员们没有提及或间接提到正在进行的谈判。相反，这两位官员都提到了军事合作伙伴必须克服技术和安全挑战才能共享数据的类似观点。
Al Alawi少将表示：“在任何共享多域作战环境中都会存在安全挑战。由于共享信息结构的核心，必须存在一定程度的信任。”
Al Alawi少将表示，合作伙伴国家需要一个相互约定的“零信任”安全模式，以确保数据可以在不同网络之间安全传输，并提供强大的电子战和网络攻击保护。
布朗将军同意“数据安全很重要，我们必须做到”。他还",美国空军参谋长布朗在迪拜国际航空首脑会议上表示，随着人工智能、超级计算、网络武器与太空方面的进步，以及非动能效应的趋势，一场类似的革命可能会在战争中出现。目前美空军许多平台无法相互连接，为充分发挥数据合成和处理的潜力，美军必须能够与盟国和伙伴国联系，增强互操作性。军事伙伴必须克服技术和安全挑战，以共享数据。此外，美国需克服过度保密的问题，需要从一开始就将其产品设计为可出口。
"2023年2月19日，俄罗斯国防公司Rostec的负责人谢尔盖·切梅佐夫表示，俄罗斯联邦已经增加了“匕首”高超音速导弹的生产。
“这些导弹系统的生产早在很久之前就开始了。一开始并不需要这么多数量。我们现在正在增加生产，”切梅佐夫在接受俄罗斯新闻机构Interfax的采访时说道。
他还补充说，Rostec为俄罗斯国防部生产了“巨大的产品数量”。
“数量已经显著增长，在某些情况下增长了50倍，”这位国家公司负责人表示。
这主要涉及弹药工业。此外，根据切梅佐夫的说法，2023年，俄罗斯国防公司可以生产多达300架直升机，其中包括攻击直升机。
而一年前，Rostec每年生产150-160架飞机。
乌克兰国防部的主要情报总局表示，俄罗斯并没有那么多“匕首”高超音速导弹，他们只是喜欢用这种可能性“吓唬”西方国家。而且还存在一个问题，就是能够携带这些导弹的飞机，即米格-31。",俄罗斯国家技术集团（Rostec）负责人切梅佐夫表示，俄罗斯正在加速生产“匕首”高超声速导弹。俄罗斯国家技术集团主要为俄国防部生产大量产品，主要涉及弹药工业，销量大幅增长，在某些情况下增长了50倍。此外，据切梅佐夫称，到2023年，俄罗斯国防企业最多可生产300架直升机，其中包括攻击直升机。乌克兰国防部情报总局表示，俄罗斯没有那么多的“匕首”高超声速导弹和“米格”-31战斗机，只是在恐吓西方国家。
"韩国建造的巴拉卡核电站的第三个机组已成功连接到阿拉伯联合酋长国的电力传输网，该国的国有公用事业公司于周日表示。
据韩国电力公司（KEPCO）称，3号机组于上个月开始运营，并在上周交付了第一批兆瓦级的无碳电力。
预计经过进一步测试后，该机组将于明年开始商业运营。
3号机组是在阿布扎比以西270公里的巴拉卡建造的四个核反应堆之一，该项目于2009年由KEPCO领导的联合体以200亿美元的合同中标。该项目标志着韩国首次出口国产商业核电站。
巴拉卡核电站的第一台机组于2021年4月开始商业运营，第二台机组于今年3月开始商业运营。
据KEPCO称，3号机组将为阿联酋的电网增加1400兆瓦的零碳排放电力，使该电站的总产能达到4200兆瓦。
当四个机组都开始商业运营时，巴拉卡核电站将为阿联酋的电力需求提供高达25%的供应，并有望帮助确保阿联酋的能源可持续性并实现净零目标。",阿联酋核能公司（ENEC）2022年10月9日表示，巴拉卡核电厂3号机组已成功实现首次并网发电。在完成进一步测试后，该机组预计将于2023年投入商运。巴拉卡核电厂位于阿布扎比艾尔达法拉（Al Dhafra）地区，拥有4台APR-1400核电机组。前2台机组即巴拉卡1号和2号机组已分别于2020年8月和2021年9月并网发电，4号机组也即将并网发电。该厂由韩国电力公司（KEPCO）牵头的联合体负责建设，由阿核能与韩电的合资公司纳瓦能源公司（Nawah Energy）负责运营和维护。4台机组全部建成投运后，将能满足阿联酋四分之一的电力需求，每年减排超过2100万吨二氧化碳。
"美国海军正面临现代化舰队建设的压力，其公共船坞也面临着挑战。退役海军上将詹姆斯·福戈在下面的专栏中写道，他的前任服务部门应该从一开始就强调数字化，以便更加智能高效地工作。

在可预见的未来，美国每年建造的舰艇数量将不会超过中国。

这是我们进入新的海洋时代所面临的现实。我们的对手正在投入巨大资源来缩小能力差距，为了保持优势，我们必须尽快建造舰艇，并最大限度地发挥现有舰队的海上力量。

这将要求我们在传统战斗中发挥领导作用，并在开发新技术方面更具创造力。掌握这两者将确保今天和未来的战备状态，希望能够继续遏制大规模冲突。

最大化发挥我们当前舰队的力量的一个重要因素始于我们海军的船坞。美国海军的四个公共船坞——诺福克海军船坞、朴茨茅斯海军船坞、普吉特湾海军船坞和中间维修设施、珍珠港海军船坞和中间维修设施——是我们国家防御的重要组成部分。这些船坞对潜艇、水面战斗舰艇和航空母舰进行重要的维护活动，从大修到核动力燃料补给再到改装。它们是确保我们的潜艇和航空母舰舰队现代化、运行和可用的基础。

但是今天，我们的船坞面临着重大挑战：它们建造于很久以前，有些可以追溯到19世纪，多年来，现代化这些设施一直被其他优先事项所抛在了后面。2020年8月的一份美国政府 Accountability Office（GAO）的报告发现，2015年至2019年期间，航空母舰和潜艇维修的延迟导致这些舰艇在运营中不可用的总天数达到7,424天，相当于每年损失半艘航空母舰和三艘潜艇。就在上个月，比尔·格林海军少将证实，海军目前有41艘水面舰艇处于重大维修期，计划中还有100艘，预计2022财年按时交付率将为36%，低于2021财年的44%。

这些延误导致部署作战力量大幅减少。为了弥补这一差距，海军于2018年制定了船坞基础设施优化计划（SIOP），以重新配置、现代化和优化我们四个老化的海军船坞。

虽然改善这些设施的物理基础设施对于成功至关重要，但同样重要的是我们要抓住这个机会，建立所需的数字基础设施，以加速我们的战备优势。

数字化加速维护生命周期

了解数字化机遇的起点是了解维护生命周期。当一艘船到达船坞时，它需要人力、零部件、",当前，美国海军船厂维护存在工作效率低、人才和培训不足以及维修数据庞大、无序的问题。美海军正通过“船厂基础设施优化计划”（SIOP）应对这些挑战，涉及3个方面：干船坞、基础设施和工业厂用设备，而数字化技术是提升船厂维护速度和效率的基础。通过部署人工智能（AI）、数据分析和机器学习工具，可增强洞察力，进行数据预测，并实现关键信息共享，最大限度发挥操作人员能力，使其作出更快、更明智的决策。关于将数字技术整合到SIOP计划，文章作者提出4项建议：一是将3%的预算用于数字化转型；二是提供培训增强操作员的技能水平，利用定制化商业技术满足其需求；三是利用现有和模拟数据集展示AI技术；四是将数字化技术无缝整合到数据系统，确保船舶和船厂物理、电磁和信息安全要求。
"美国导弹防御局的计划再次推迟了交付远程歧视雷达（Long Range Discrimination Radar，LRDR）进行作战的时间，与最初的计划相比，关键里程碑被推迟了整整一年。政府和主要承包商洛克希德·马丁公司目前计划于2021年12月完成新传感器的安装。
导弹防御局发言人马克·赖特表示，该机构错过了2021年9月的最初实地部署目标的原因与之前的2020年6月和12月的同一目标的原因相同，即受到了疫情的影响。
赖特在10月8日给Inside Defense的一封电子邮件中表示：“远程歧视雷达（LRDR）设施的建设已经完成。雷达的安装将于11月完成。计划于2021年12月举行一个最初实地部署仪式，以纪念设施建设和雷达安装的完成，以及过渡到雷达测试、培训和作战。最初实地部署计划的变更是COVID-19的影响结果。”
导弹防御局最初的计划要求LRDR最迟于2020年12月投入使用。2020年秋季，导弹防御局向国会表示需要到2021年6月才能实现这一目标，随后这一目标又调整到了2021年9月。
这个新传感器位于阿拉斯加州克利尔空军基地的一座已拆除的弹道导弹早期警报系统建筑物的现场。
LRDR是导弹防御局升级地基中程防御系统（Ground-based Midcourse Defense system）为“强大的国土防御”配置的一部分，它能够提供对远程弹道导弹（尤其是来自朝鲜的导弹）在中程飞行阶段的改进、持久的观测。这个新传感器还将支持其他任务领域，包括空间态势感知。
由洛克希德·马丁公司制造的LRDR是一种强大的S波段雷达，包括两个60英尺高、60英尺宽的阵列，预计能够在极远距离上确定威胁，以帮助引导地基拦截器以更高的信心摧毁敌方再入飞行器，并减少用于击毁来袭弹头的远程制导导弹的数量。
这个新传感器包括一个“设备控制室”，其中安装了两个雷达阵列面，一个任务控制设施，用于支持雷达操作，以及其他支持设施和基础设施。
LRDR的最初实地部署将标志着开发需求的部署和验证的完成。
下一个计划的里程碑是技术能力宣告，这取决于成功完成弹道导弹防御系统性能测试。","导弹防御局（MDA）计划于2021年12月交付远程识别雷达（LRDR）。由于疫情原因，LRDR的部署时间与最初计划相比推迟了整整一年。目前已经完成远程识别雷达（LRDR）设施的建设，将于11月完成雷达的安装，计划于2021年12月举行初始部署仪式，标志着设施建设和雷达安装的完成，并向雷达测试、培训和作战过渡。
LRDR将部署在阿拉斯加州克利尔空军基地，包括一个“设备支架”，用于容纳两个雷达阵列面、一个支持雷达操作的任务控制设施以及配套设施和基础设施。主承包商是洛克希德马丁公司，是一种强大的S波段雷达——包括两个阵列，每个阵列高60英尺，宽60英尺，可以引导地基拦截弹摧毁敌方的再入飞行器，降低拦截弹数量。
LRDR是地基中段系统升级为“强健本土防御”计划的重要组成，在飞行中段持续监测远程弹道导弹（尤其是从朝鲜发射的导弹）。LRDR还将支持包括空间态势感知的其他任务领域。"
"2021年8月17日，美国马里兰州杰曼敦，Hughes Network Systems, LLC（HUGHES）宣布获得美国空军价值9.5亿美元的无限交付/无限数量（IDIQ）合同之一，以支持其先进战斗管理系统（ABMS）。Hughes将提供灵活的卫星通信解决方案，利用开放系统设计、现代软件和算法开发，以实现ABMS的目标，该系统是更广泛的联合全域指挥与控制（JADC2）努力的一部分，旨在为作战人员提供信息获取能力。
""Hughes在工程开放标准、互操作网络解决方案方面的领导地位得到了体现，使得国防部网络能够作为一个整体运行，""Hughes国防和情报系统部门副总裁兼总经理Rick Lober表示。""我们期待将智能多传输技术，如我们独特的终端管理代理，引入部署能够确保任务的弹性网络，以满足空军的需求。""
该IDIQ合同是一个多个奖项、多级安全的努力的一部分，旨在通过开放架构系统家族，以多个集成平台提供系统的开发和运作，实现在所有领域（空中、陆地、海洋、太空、网络和电磁频谱）中作为一个统一力量的能力。
有关Hughes国防的更多信息，请访问defense.hughes.com。",美国休斯网络系统公司获得美空军无限期交付/无限期数量合同，以推进先进战斗管理系统(ABMS)的研发，其最高合同额为9.5亿美元。休斯公司宣布将为ABMS提供灵活的卫星通信解决方案，通过开放系统设计、现代软件和算法开发，为战斗机提供信息访问，使ABMS更有力地支撑美军联合全域指挥和控制（JADC2）战略。美空军表示，ABMS 将通过多个平台的集成，将空中、地面、海上及网络等多域的武器系统和射手无缝连接。
"美国国防高级研究计划局（DARPA）的地下挑战计划预计将于下个月举办最后一次比赛，该计划已经推进了已经在使用的先进机器人技术。
该计划旨在开发能够在地下执行任务的机器人技术，包括快速绘制、导航和搜索复杂的地下环境，如人工隧道系统、城市地下和自然洞穴网络。这个由DARPA主办的挑战可以说是两个挑战的结合，因为它同时关注物理和虚拟机器人技术。
在系统竞赛中表现最好的团队将获得200万美元的奖金，而在虚拟竞赛中表现最好的团队将获得75万美元的奖金。经过三年的发展，DARPA地下（SubT）挑战团队将有机会参加9月21日至23日在肯塔基州路易斯维尔的路易斯维尔巨型洞穴举行的决赛活动。
物理机器人系统可以采取任何形式或任何大小。它们可以行走、游泳、飞行或滚动。理想情况下，该计划将开发出能够在任何地下环境中执行任务的系统，包括人工隧道，如矿井、地铁站、停车场和下水道系统，以及自然洞穴网络。DARPA地下挑战计划经理蒂莫西·钟解释说：“DARPA所做的是在一些情况下创造了一个非常困难但真正提高了这些机器人在自主性、网络、感知和机动性等四个领域面临的挑战的环境。这里的想法是要得到不仅仅是最好的游泳者或跑步者，而是最好的全能三项运动员。”
政府实验室中的技术要在现实世界中使用通常需要数年时间，有时甚至永远无法使用。但钟并不认为在该计划下开发的某些组件和集成系统会成为问题。“我们已经有了一些初创公司从这些竞赛团队中分离出来，我认为这是一条将技术商业化和产品化并真正看到这些技术在现实世界中应用的途径，”他说。“有一些技术对安全和安全人员非常感兴趣。”
他暗示，一些技术在计划完成后可能会立即产生影响。“总的来说，我对DARPA大挑战的愿景感到兴奋，这个愿景可能需要十年甚至更长时间才能产生影响，但即使在最后一次活动结束后，也能立即产生影响。”
事实上，有些技术已经在现实世界中发挥了作用。“一些技术已经被部署到矿井、基础设施和油井中进行维护和管理，所以它们在商业领域已经有了实际经验，”钟报道。
该计划在多个技术领域取得了进展，包括两个最具挑战性的领域：没有GPS信号的地下通信和地理定位。
“我们要求这些团队报告一个绝对位置，而不仅仅是相对位置。如果你试图钻","DARPA的“地下挑战赛”(Subterranean Challenge)项目将于下个月举办最后一场比赛。这项由DARPA发起的挑战赛旨在发展能够在地下环境执行任务的机器人技术，包括快速测绘技术以及复杂地下环境（如人造隧道系统、城市地下环境和天然洞穴网络）中的导航与搜索技术，同时关注实体机器人和虚拟机器人技术。实体机器人竞赛中表现最好的团队将获得200万美元的奖金，虚拟竞赛中表现最好的团队将获得75万美元的奖金。DARPA的“地下挑战赛”经过3年的发展历程，最终参赛团队将有机会参加9月21日至23日在肯塔基州路易斯维尔巨型洞穴举行的决赛。
参加DARPA“地下挑战赛”的实体机器人系统可以采取任何形式或任何大小，会走路、游泳、飞行或滚动。理想情况下，参加比赛的系统应该能够在任何地下环境中运行，包括人造隧道，如矿山、地铁站、停车场和下水道系统，以及天然洞穴网络。DARPA所做的是创造非常困难的地下环境，真正提高机器人在自主、网络、感知、移动4个方面所面临的挑战。目前，该项目参赛团队已经衍生出一些初创公司，这是一种很好的商业化和产品化途径，能够真正使挑战赛中开发的技术在现实世界中得到应用。其中一些技术可能会在该项目完成后立即产生影响。事实上，有些技术已经在现实世界中得到应用，部分技术已经被部署到矿井、基础设施和石油钻井平台用于设施维护和管理，在商业化应用方面获得了宝贵经验。
DARPA的“地下挑战赛”项目见证了多个技术领域的进步，包括两个最具挑战性的领域:地下通信和无GPS信号时的地理定位。此外，参赛团队也找到了许多技术解决方案。这些团队开发的技术非常先进，不仅仅涉及相机、红外传感器、热成像相机、激光雷达、雷达甚至声学技术。这些技术解决了对地下空间中的事物进行地理定位的棘手问题，能够用于多种应用领域，包括基础设施检查或施工现场管理，以及科学探索和发现。这是能够在近期内产生影响的重要技术进步。"
"加利福尼亚初创公司Capella Space宣布，将成为第一家与美国太空发展局（SDA）的数据中继卫星传输层进行光学链路连接的合成孔径雷达公司。Capella Space的首席技术官Christian Lenz在新闻发布会上表示：“Capella Space团队非常高兴成为第一家与SDA的国防太空架构和标准兼容的商业SAR公司。使我们的卫星能够与新的SDA架构高效集成，对我们与美国国防和情报部门无缝合作来说是至关重要的一步。”
光学星间链路（OISL）利用激光在轨道上进行通信和数据传输，这项技术是SDA在低地球轨道（LEO）上构建多层国防太空架构的核心节点和最大挑战，旨在为美国国防部当前的太空系统提供新的能力和韧性。
SDA的架构又是美国国防部“联合全域指挥与控制”（JADC2）计划的核心，该计划旨在将所有美国军事传感器与所有射手在未来全球化冲突中实时连接起来，与各个领域的同级竞争对手进行作战，包括空中、陆地、海洋、太空和网络空间。与此同时，JADC2对于太空部队也至关重要，因为它需要找到在太空中“作战”并保护美国卫星的方法。
在第一次Breaking Defense太空调查中，69%的受访者表示，JADC2对于太空战争要么“非常重要”，要么“极其重要”。
OISL还是SDA的另外两个实验的重点：
Mandrake II：由DARPA和空军研究实验室（AFRL）开发的两颗卫星，用于演示卫星之间的光学交叉链路。这些卫星由Astro Digital公司制造，携带由SA Photonics开发的OSIL，是DARPA的Blackjack计划的一部分，旨在证明小型廉价卫星的军事效用。
激光互连和网络通信系统（LINCS）：由General Atomics开发的两颗OSIL演示卫星，将用于与MQ-9连接，而MQ-9也是由GA制造的。
根据该公司的公告，“Capella Space将于2022年底开始在其商业SAR卫星上安装光学通信终端（OCTs）。”该公司的公告补充道：“这将使该公司能够利用高效的激光通信技术与其在低地球轨道上的卫星进行数据的发送和接收，并将数据传输到配备兼容设备的政府卫星和地面军事行动。”
Capella使用的是Mynaric的CONDOR Mk3光学通信终端，Mynaric此前已经证明该终端与SDA系统和标准兼容。
Mynaric的首席执行官Bulent Altan表示：“我们很荣幸被选为Capella Space与SDA进行集成工作的光学通信终端供应商。今天的公告突显了行业内标准化和兼容性的重要性。”
SDA的一位发言人解释说，与Capella的共同成本协议与SDA计划发射的18颗卫星（称为T1DES）的计","来自加利福尼亚的初创公司Capella Space今天宣布称，该公司将成为首家演示与航天发展局的数据中继卫星传输层进行光学连接的合成孔径雷达公司。
Capella Space公司首席技术官克里斯蒂安·伦茨在一份新闻稿中表示：“我们团队很高兴成为第一家证明与航天发展局的国防空间架构及标准兼容的商业合成孔径雷达公司。“使我们的卫星能够有效地与航天发展局新架构集成是我们和美国国防情报部门无缝合作的关键一步。”
光学星间链路（OISL）使用激光在轨道上的卫星之间进行通信和压缩数据——这项技术既是中心节点，也是航天发展局在低地球轨道（LEO）上构建多层国防太空架构的最大挑战，可为国防部目前的空间系统提供新的能力和弹性。"
"五角大楼的研究与工程办公室正在通过重新指定三个职位为副首席技术官，并调整这些职位的职责，以试图简化技术到能力的流程。国防部今天宣布的这些变化针对的是国防研究与工程副部长办公室内的三名现任国防研究与工程主任。五角大楼首席技术官海蒂·徐在新闻稿中表示：“从整体上看，这些变化将使我们的组织能够快速工作，并增加内外部的合作。”
此次公告重新指定了以下三个职位：
研究与技术的国防研究与工程主任被重新指定为科学与技术的副首席技术官。根据新闻稿，这个新职位的标题包括了从技术保护到小型企业计划等“基础研究与开发”的转变。
现代化的国防研究与工程主任被重新指定为关键技术的副首席技术官。根据新的组织结构图，该职位负责应用技术，如高超声速和定向能量，以及包括微电子和人机界面在内的使能技术，以及5G过渡办公室。
高级能力的国防研究与工程主任被重新指定为任务能力的副首席技术官。根据新闻稿，该部门的工作将围绕联合原型制作、实验和快速技术转移等方面展开。",5月10日，美国防部研究与工程（R&E）办公室调整了组织架构，研究和技术局主任调整为科学和技术局副首席技术官，专注于基础研究和开发，其工作范围从技术保护到小企业项目；现代化局主任调整为关键技术局副首席技术官，负责高超声速和定向能等应用技术，微电子和人机界面等使能技术和5G办公室；先期能力局主任调整为任务能力局副首席技术官，将围绕联合行动、原型设计、实验和快速转化等方面开展工作。美国防部首席技术官徐若冰表示，这些变革将提高该部门的工作效率，增加部门内外的合作。
"澳大利亚科学家利用硫化锡单层纳米片（SnS）制造了有史以来最薄的X射线探测器，有望实现细胞生物学的实时成像。X射线探测器是一种能够将辐射能量以视觉或电子方式识别出来的工具，如医学成像或盖革计数器。SnS已经显示出在光伏、场效应晶体管和催化方面的巨大潜力。现在，澳大利亚蒙纳士大学和皇家墨尔本理工大学的卓越激子科学中心的成员们表明，SnS纳米片也是用作软X射线探测器的极佳候选材料。他们在《先进功能材料》杂志上发表的研究表明，SnS纳米片具有高光子吸收系数，可用于制造具有高灵敏度和快速响应时间的超薄软X射线探测器。这些材料的灵敏度甚至比另一种新兴候选材料（金属卤化物钙钛矿）更高，响应时间比已有的探测器更快，并且可以调节对软X射线区域的灵敏度。该团队制造的SnS X射线探测器厚度不到10纳米。为了有所了解，一张纸的厚度约为100,000纳米，你的指甲每秒钟增长约一纳米。以前制造的最薄X射线探测器厚度在20到50纳米之间。SnS X射线探测器的全部潜力仍需进一步研究，但该论文的高级作者、蒙纳士大学材料科学与工程系的雅塞尼亚克教授认为，这有可能有一天实现细胞过程的实时成像。他说：“SnS纳米片的响应非常快，几毫秒内就能响应。你可以扫描一样东西，几乎瞬间就能得到图像。感应时间决定了时间分辨率。原则上，由于高灵敏度和高时间分辨率，你可以实时看到事物。你可能能够使用它来观察细胞的相互作用。你不仅仅是产生一个静态图像，你可以使用X射线看到蛋白质和细胞的演变和运动。”为什么这种灵敏度和响应速度很重要呢？X射线可以广泛分为两种类型：“硬”X射线是医院用来扫描身体骨折和其他疾病的一种。也许不太为人所知，但同样重要的是“软”X射线，它具有较低的光子能量，可以用来研究湿蛋白质和活细胞，这是细胞生物学的重要组成部分。其中一些测量是在“水窗口”进行的，这是电磁谱中的一个区域，在这个区域内，水对软X射线是透明的。软X射线检测可以使用同步辐射来进行，同步辐射是一种像瑞士的大型强子对撞机那样的粒子",近日，澳大利亚莫纳什大学使用硫化锡（SnS）纳米片制造出有史以来最薄的X光探测器。X射线探测器是一种可通过视觉或电子方式识别辐射传输能量的检测工具，研究人员发现硫化锡纳米片是用作软X射线探测器的优秀候选材料，因为硫化锡纳米片具有较高的光子吸收系数，使其可用于制作高灵敏度和快速响应的超薄软X射线探测器。他们使用硫化锡纳米片制造出一种厚度不到10纳米的硫化锡X射线探测器，通过测试发现这种硫化锡纳米片甚至比另一种新兴的候选材料金属卤化物钙钛矿更灵敏，而且还具有比现有探测器更快的响应速度，可在软X光区域调节灵敏度。这种新型X射线探测器将有望用于实现细胞生物学的实时成像。
"2022年6月16日，瑞典的Vattenfall公司计划将Forsmark核电站1号反应堆的功率提高100兆瓦电力（MWe），其中一半可以在秋季的下一次维护期间完成。
“Vattenfall希望通过提高Forsmark 1的功率，为瑞典南部的电力客户提供更多电力，” Vattenfall的北欧生产经理Torbj?rn Wahlborg表示。“我们有机会增加这个反应堆的电力产量，而无需进行重大技术措施，相当于约20万套公寓或5万座别墅的年度用电量。我们已向相关部门提交了申请，并希望尽快收到积极的回复，以便能够提供更多无化石燃料的电力。”
Uppland的Forsmark核电站拥有三个反应堆，分别为990兆瓦电力（1号机组）、1121兆瓦电力（2号机组）和1172兆瓦电力（3号机组）。Forsmark 2号机组的功率在2013年增加了100兆瓦电力。Forsmark 1号机组已进行了现代化改造，以确保长期运营，并对基础设施进行了升级。这为提高反应堆的功率提供了许可的机会。
“提高Forsmark 1号机组的功率可以成为电力区域3的重要补充，尤其是在寒冷天气中可能出现南部电力区域的电力短缺时，” Forsmark和Ringhals核电站的首席执行官Bj?rn Linde表示。“瑞典南部需要更多计划中的电力产量，我们可以通过相对较小的措施在今年增加50兆瓦电力，明年再增加50兆瓦电力。”
作为瑞典最大的电力发电厂，Forsmark去年产生了略超过25TWh的电力。目前，瑞典的核能发电占总电力产量的30%以上。",瑞典瓦腾福公司（Vattenfall）已准备好将福什马克核电厂1号机组的功率提升10万千瓦，2022年秋季的下一个维护期内先增加5万千瓦，2023年再增加5万千瓦。瓦腾福公司一位负责人表示，希望通过提升1号机组的功率，为瑞典南部的电力客户提供更多电力。该公司已经向主管部门提交了申请，希望能尽快获批，以便生产更多的非化石电力。福什马克核电厂共有3台机组，装机容量分别为99万千瓦、112.1万千瓦和117.2万千瓦。其中2号机组的功率于2013年提升了略高于10万千瓦。为了确保长期运行，1号机组的基础设施也进行了升级改造，为以更高功率运行创造了条件。福什马克核电厂2021年的发电量为250多亿千瓦时。目前，瑞典核发电量在全国总发电量中占比略高于30%。
